BikeID,Duration,Start date,End date,Start station number,Start_station,End station number,End station,Bike number,Member type
525101,282,03/01/2018 09:57,03/01/2018 10:02,31091,S Joyce & 16th St S,31007,Crystal City Metro / 18th & Bell St,W22773,Member
525102,409,03/01/2018 09:58,03/01/2018 10:05,31104,Adams Mill & Columbia Rd NW,31200,Massachusetts Ave & Dupont Circle NW,W22854,Member
525103,1928,03/01/2018 09:58,03/01/2018 10:30,31121,Calvert St & Woodley Pl NW,31293,31st & Water St NW,W21086,Casual
525104,369,03/01/2018 09:58,03/01/2018 10:04,31203,14th & Rhode Island Ave NW,31222,New York Ave & 15th St NW,W21045,Member
525105,1897,03/01/2018 09:58,03/01/2018 10:30,31121,Calvert St & Woodley Pl NW,31293,31st & Water St NW,W20471,Casual
525106,577,03/01/2018 09:58,03/01/2018 10:08,31121,Calvert St & Woodley Pl NW,31101,14th & V St NW,W01409,Member
525107,2071,03/01/2018 09:59,03/01/2018 10:33,31627,3rd & M St NE,31638,1st & H St NW,W20927,Member
525108,303,03/01/2018 09:59,03/01/2018 10:04,31625,3rd & G St SE,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W00169,Member
525109,173,03/01/2018 10:00,03/01/2018 10:03,31642,New Jersey Ave & L St NW,31624,North Capitol St & F St NW,W23416,Member
525110,510,03/01/2018 10:00,03/01/2018 10:09,31619,Lincoln Park / 13th & East Capitol St NE,31628,1st & K St SE,W22505,Member
525111,208,03/01/2018 10:00,03/01/2018 10:04,31108,4th & M St SW,31244,4th & E St SW,W00887,Member
525112,461,03/01/2018 10:01,03/01/2018 10:08,31200,Massachusetts Ave & Dupont Circle NW,31295,Potomac & M St NW,W21672,Member
525113,1216,03/01/2018 10:01,03/01/2018 10:21,31404,9th & Upshur St NW,31216,14th St & New York Ave NW,W01215,Member
525114,963,03/01/2018 10:01,03/01/2018 10:17,31304,36th & Calvert St NW / Glover Park,31298,15th & M St NW,W00692,Casual
525115,863,03/01/2018 10:02,03/01/2018 10:16,31214,17th & Corcoran St NW,31107,Lamont & Mt Pleasant NW,W20719,Member
525116,868,03/01/2018 10:02,03/01/2018 10:16,31104,Adams Mill & Columbia Rd NW,31260,23rd & E St NW,W00545,Member
525117,391,03/01/2018 10:02,03/01/2018 10:09,31298,15th & M St NW,31263,10th & K St NW,W21328,Member
525118,887,03/01/2018 10:02,03/01/2018 10:17,31126,11th & Girard St NW,31234,20th & O St NW / Dupont South,W22747,Member
525119,881,03/01/2018 10:03,03/01/2018 10:18,31118,3rd & Elm St NW,31216,14th St & New York Ave NW,W20538,Member
525120,1677,03/01/2018 10:03,03/01/2018 10:31,31031,15th & N Scott St,31218,L'Enfant Plaza / 7th & C St SW,W22714,Member
