BikeID,Duration,Start date,End date,Start station number,,End station number,End station,Bike number,Member type
528707,436,01/01/2018 02:46,01/01/2018 02:53,31256,10th & E St NW,31244,4th & E St SW,W22394,Member
528708,183,01/01/2018 02:53,01/01/2018 02:56,31221,18th & M St NW,31212,21st & M St NW,W00554,Member
528709,521,01/01/2018 02:57,01/01/2018 03:06,31114,18th St & Wyoming Ave NW,31109,7th & T St NW,W23285,Member
528710,231,01/01/2018 02:58,01/01/2018 03:02,31602,Park Rd & Holmead Pl NW,31107,Lamont & Mt Pleasant NW,W20583,Member
528711,1414,01/01/2018 03:06,01/01/2018 03:29,31125,15th & W St NW,31517,Union Market/6th St & Neal Pl NE,W21685,Member
528712,356,01/01/2018 03:18,01/01/2018 03:24,31645,6th & K St NE,31612,D St & Maryland Ave NE,W01190,Member
528713,345,01/01/2018 03:18,01/01/2018 03:24,31645,6th & K St NE,31612,D St & Maryland Ave NE,W23125,Member
528714,558,01/01/2018 03:19,01/01/2018 03:28,31114,18th St & Wyoming Ave NW,31109,7th & T St NW,W01313,Member
528715,123,01/01/2018 03:23,01/01/2018 03:25,31119,14th & Belmont St NW,31101,14th & V St NW,W22451,Casual
528716,784,01/01/2018 03:34,01/01/2018 03:47,31908,Radford & Osage St,31056,S Troy St & 26th St S,W23101,Member
528717,376,01/01/2018 03:46,01/01/2018 03:52,31241,Thomas Circle,31600,5th & K St NW,W20653,Member
528718,1248,01/01/2018 03:48,01/01/2018 04:09,31056,S Troy St & 26th St S,31001,18th & Eads St.,W23101,Member
528719,313,01/01/2018 03:53,01/01/2018 03:58,31602,Park Rd & Holmead Pl NW,31115,Columbia Rd & Georgia Ave NW,W01257,Member
528720,1018,01/01/2018 04:10,01/01/2018 04:27,31001,18th & Eads St.,31910,Potomac Ave & Main Line Blvd,W23101,Member
528721,1626,01/01/2018 04:11,01/01/2018 04:38,31229,New Hampshire Ave & T St NW,31108,4th & M St SW,W00515,Member
528722,273,01/01/2018 04:13,01/01/2018 04:18,31610,Eastern Market / 7th & North Carolina Ave SE,31619,Lincoln Park / 13th & East Capitol St NE,W20975,Member
528723,282,01/01/2018 04:14,01/01/2018 04:19,31610,Eastern Market / 7th & North Carolina Ave SE,31619,Lincoln Park / 13th & East Capitol St NE,W22505,Member
528724,860,01/01/2018 04:21,01/01/2018 04:35,31121,Calvert St & Woodley Pl NW,31277,17th & G St NW,W21263,Member
528725,713,01/01/2018 04:27,01/01/2018 04:39,31910,Potomac Ave & Main Line Blvd,31098,King St Metro North / Cameron St,W23101,Member
528726,170,01/01/2018 04:33,01/01/2018 04:36,31267,17th St & Massachusetts Ave NW,31278,18th & R St NW,W20946,Member
528727,972,01/01/2018 04:38,01/01/2018 04:54,32063,Amherst Ave & Elkins St,32063,Amherst Ave & Elkins St,W00771,Casual
528728,945,01/01/2018 04:38,01/01/2018 04:54,32063,Amherst Ave & Elkins St,32063,Amherst Ave & Elkins St,W21190,Casual
528729,1149,01/01/2018 04:39,01/01/2018 04:58,31098,King St Metro North / Cameron St,31908,Radford & Osage St,W23101,Member
528730,1165,01/01/2018 04:47,01/01/2018 05:07,31231,14th & D St NW / Ronald Reagan Building,31615,6th & H St NE,W22159,Member
528731,1392,01/01/2018 04:49,01/01/2018 05:13,31627,3rd & M St NE,31627,3rd & M St NE,W01149,Member
528732,876,01/01/2018 05:03,01/01/2018 05:18,31119,14th & Belmont St NW,31621,4th & D St NW / Judiciary Square,W20682,Member
528733,6532,01/01/2018 05:11,01/01/2018 07:00,31037,Ballston Metro / N Stuart & 9th St N,31098,King St Metro North / Cameron St,W22211,Casual
528734,6474,01/01/2018 05:11,01/01/2018 06:59,31037,Ballston Metro / N Stuart & 9th St N,31098,King St Metro North / Cameron St,W20478,Casual
528735,143,01/01/2018 05:30,01/01/2018 05:32,31102,11th & Kenyon St NW,31126,11th & Girard St NW,W21074,Member
528736,718,01/01/2018 05:38,01/01/2018 05:50,31513,Rhode Island Ave & V St NE,31645,6th & K St NE,W22127,Member
